"id","created","name","position","foot","height","weight","dob","cityob","countryob","nt","club","age"
"07802f7f","2021-12-30 16:29:10","Danny Ings","FW","86% Right",178,73,"July 23, 1992","Winchester","England","England","Aston Villa",29
"07c7eb0c","2021-12-30 16:41:16","Anthony Losilla","MF (DM)","86% Right",185,75,"March 10, 1986","Firminy","France",NULL,"Bochum",35
"07d95488","2021-12-30 16:42:39","Mika Schroers","FW","Both",NULL,73,"February 4, 2002","Kempen","Germany",NULL,"Mönchengladbach",19
"07ea0ef2","2021-12-30 16:57:22","Leonardo Capezzi","MF (CM)","78% Right",178,75,"March 28, 1995","Figline Valdarno","Italy",NULL,"Salernitana",26
"080440a4","2021-12-30 16:37:35","Martin Hinteregger","DF-MF (CB)","80% Left",184,73,"September 7, 1992","Feldkirchen ","Austria","Austria","Eintracht Frankfurt",29
"080de72a","2021-12-30 16:15:31","Yannis M'Bemba","MF",NULL,NULL,NULL,"July 1, 2001",NULL,NULL,NULL,"Nantes",20
"0821331c","2021-12-30 16:55:50","Mattia Bani","DF (CB)","92% Right",188,75,"December 10, 1993","Borgo San Lorenzo","Italy",NULL,"Genoa",28
"08288a57","2021-12-30 16:31:04","Charlie Whitaker","MF",NULL,180,66,"September 16, 2003","England","United Kingdom",NULL,"Everton",18
"0847b5a5","2021-12-30 16:54:10","Mattia Aramu","FW-MF (AM)","89% Left",180,67,"May 14, 1995","Ciriè","Italy",NULL,"Venezia",26
"08511d65","2021-12-30 16:12:31","Sergio Ramos","DF (CB-FB, left)","85% Right",183,75,"March 30, 1986","Camas","Spain","Spain","Paris Saint-Germain",35
"08593525","2021-12-30 16:36:59","Diadie Samassékou","MF (CM-DM)","88% Right",175,68,"January 11, 1996","Bamako","Mali","Mali","Hoffenheim",25
"085e71a7","2021-12-30 16:48:46","Bartłomiej Drągowski","GK","91% Right",191,86,"August 19, 1997","Białystok","Poland","Poland","Fiorentina",24
"088ca1bd","2021-12-30 16:36:00","Jonathan Schmid","DF-MF (FB-WM, right)","85% Right",179,77,"June 26, 1990","Strasbourg","France",NULL,"Freiburg",31
"08990838","2021-12-30 16:49:36","Denis Vavro","DF (CB)","92% Right",190,88,"April 10, 1996","Žilina","Slovakia","Slovakia","Lazio",25
"08aa9cd1","2021-12-30 16:45:10","Andrea Pinamonti","FW","88% Right",185,80,"May 19, 1999","Cles","Italy",NULL,"Empoli",22
"08eb3b58","2021-12-30 16:48:04","Matías Viña","DF (FB, left)","87% Left",176,71,"November 9, 1997","Empalme Olmos","Uruguay","Uruguay","Roma",24
"08f5afaa","2021-12-30 16:12:19","Gianluigi Donnarumma","GK","86% Right",196,90,"February 25, 1999","Castellammare di Stabia","Italy","Italy","Paris Saint-Germain",22
"091795f2","2021-12-30 16:50:44","Gabriele Corbo","DF",NULL,NULL,NULL,"January 11, 2000",NULL,NULL,NULL,"Bologna",21
"091c86e2","2021-12-30 16:42:12","Felix Kalu Nmecha","MF","Right",185,75,"October 10, 2000","England","United Kingdom",NULL,"Wolfsburg",21
"09538fdb","2021-12-30 16:52:25","Kevin Lasagna","FW","77% Left",186,80,"August 10, 1992","San Benedetto Po","Italy","Italy","Verona",29
"0959c2a2","2021-12-30 16:00:35","Federico Valverde","MF (CM)","92% Right",183,72,"July 22, 1998","Montevideo","Uruguay","Uruguay","Real Madrid",23
"0967845b","2021-12-30 16:49:54","Fabiano Parisi","DF","96% Left",NULL,NULL,"November 9, 2000",NULL,NULL,NULL,"Empoli",21
"09899de8","2021-12-30 16:49:53","Simone Romagnoli","DF (CB)","83% Right",193,85,"February 9, 1990","Cremona","Italy",NULL,"Empoli",31
"099e666f","2021-12-30 16:30:48","Jonjoe Kenny","DF-FW (FB, right)","94% Right",176,67,"March 15, 1997",NULL,NULL,NULL,"Everton",24
"09a9e921","2021-12-30 16:07:30","Carlos Bacca","FW","94% Right",181,77,"September 8, 1986","Barranquilla","Colombia","Colombia","Granada",35
"0a3065c8","2021-12-30 16:50:33","Mitchell Dijks","DF (CB-FB, left)","84% Left",192,90,"February 9, 1993","Gemeente Purmerend","Netherlands",NULL,"Bologna",28
"0a3d6d2b","2021-12-30 16:34:57","Chris Richards","DF","67% Right",188,81,"March 28, 2000","Birmingham","Alabama","United States","Hoffenheim",21
"0a3f6cde","2021-12-30 16:41:28","Christopher Antwi-Adjei","MF (AM, left)","80% Right",171,70,"February 7, 1994","Hagen","Germany","Ghana","Bochum",27
"0a447501","2021-12-30 16:50:51","Antonio Sanabria","FW","74% Right",180,76,"March 4, 1996","San Lorenzo","Paraguay","Paraguay","Torino",25
"0a483542","2021-12-30 16:51:54","Giorgos Kyriakopoulos","DF (FB, left)","88% Left",178,75,"February 5, 1996","Pátrai","Greece","Greece","Sassuolo",25
"0a67443a","2021-12-30 16:20:05","Nael Jaby","FW",NULL,NULL,NULL,"April 20, 2001",NULL,NULL,NULL,"Clermont Foot",20
"0a89e877","2021-12-30 16:40:12","Benjamin Henrichs","DF-MF (FB)","72% Right",182,78,"February 23, 1997","Cologne","Germany","Germany","RB Leipzig",24
"0a8d6b91","2021-12-30 16:13:12","Alexis Trouillet","MF","Left",175,65,"December 23, 2000","Saint-Priest-en-Jarez","France",NULL,"Auxerre",21
"0a8fd9cb","2021-12-30 16:03:34","Javier Serrano","MF",NULL,NULL,NULL,"January 16, 2003",NULL,NULL,NULL,"Atlético Madrid",18
"0ab1f153","2021-12-30 16:47:12","Juan Cuadrado","DF-FW-MF (AM-FB-WM, right)","88% Right",178,71,"May 26, 1988","Bogotá","Colombia","Colombia","Juventus",33
"0abc51f2","2021-12-30 16:06:03","Jorge Cuenca","DF","86% Left",187,75,"November 17, 1999","Madrid","Spain",NULL,"Getafe",22
"0ac94a23","2021-12-30 16:05:12","Denis Cheryshev","FW-MF (WM, left)","84% Left",179,74,"December 26, 1990","Nizhny Novgorod","Russia","Russia","Valencia",31
"0acda699","2021-12-30 16:50:46","Francesco Bardi","GK","Right",188,82,"January 18, 1992","Livorno","Italy",NULL,"Bologna",29
"0ad37003","2021-12-30 16:21:45","Yvan Neyou","MF","88% Right",180,69,"January 3, 1997","Douala","Cameroon","Cameroon","Saint-Étienne",24
"0ae4e09a","2021-12-30 16:11:26","Roger Martí","FW","88% Right",179,74,"January 3, 1991","Torrent","Spain",NULL,"Levante",30
"0b0cbe5b","2021-12-30 16:21:42","Denis Bouanga","FW-MF (AM)","82% Right",175,70,"November 11, 1994","Le Mans","France","Gabon","Saint-Étienne",27
"0b104510","2021-12-30 16:44:08","Marco Meyerhöfer","DF (FB, right)","91% Right",176,72,"November 18, 1995","Bad Homburg","Germany",NULL,"Greuther Fürth",26
"0b2c8585","2021-12-30 16:09:59","Raúl Guti","MF (CM, right)","96% Right",180,78,"December 30, 1996","Zaragoza","Spain",NULL,"Elche",25
"0b2c9aec","2021-12-30 16:18:59","Mitchell van Bergen","FW","Right",170,56,"August 27, 1999","Gemeente Oss","Netherlands",NULL,"Reims",22
"0b33f6ad","2021-12-30 16:29:33","Mohammed Salisu","DF (CB, left)","90% Left",191,82,"April 17, 1999","Benin","Benin",NULL,"Southampton",22
"0b4d8274","2021-12-30 16:21:52","Romain Hamouma","FW-MF (AM-WM, right)","89% Right",177,67,"March 29, 1987","Lure","France",NULL,"Saint-Étienne",34
"0b4f388a","2021-12-30 16:42:27","Breel Embolo","FW-MF","88% Right",185,71,"February 14, 1997","Yaoundé","Cameroon","Switzerland","Mönchengladbach",24
"0b5a292a","2021-12-30 16:45:53","Mário Rui","DF-MF (FB, left)","91% Left",170,67,"May 27, 1991","Sines Municipality","Portugal","Portugal","Napoli",30
"0b90bb97","2021-12-30 16:08:15","Santi Mina","FW","88% Right",177,71,"December 7, 1995","Vigo","Spain",NULL,"Celta Vigo",26
"0ba976e4","2021-12-30 16:04:29","Ansu Fati","FW","88% Right",178,68,"October 31, 2002","Bissau","Guinea-Bissau","Spain","Barcelona",19
"0bb6e193","2021-12-30 16:21:46","Yvann Macon","DF","79% Right",176,74,"October 1, 1998","Baie-Mahault","Guadeloupe",NULL,"Saint-Étienne",23
"0bc4e720","2021-12-30 16:05:18","Manu Vallejo","FW-MF","89% Right",167,64,"February 14, 1997","Chiclana de la Frontera","Spain",NULL,"Valencia",24
"0be276c6","2021-12-30 16:56:52","Norbert Gyömbér","DF-MF (CB-DM)","89% Right",189,74,"July 3, 1992","Banská Bystrica","Slovakia","Slovakia","Salernitana",29
"0be95d34","2021-12-30 16:14:07","Romain Del Castillo","FW-MF (AM)","80% Left",172,56,"March 29, 1996","Lyon","France",NULL,"Brest",25
"0bfca6a1","2021-12-30 16:15:23","Quentin Merlin","FW","94% Left",173,68,"May 16, 2002","Nantes","France",NULL,"Nantes",19
"0c291a1a","2021-12-30 16:14:39","Mathías Suárez","DF (FB, left)","94% Right",179,76,"June 24, 1996","Montevideo","Uruguay","Uruguay","Montpellier",25
"0c2ac3cb","2021-12-30 16:12:32","Rafinha","MF (AM-CM)","87% Left",174,71,"February 12, 1993","São Paulo","Brazil","Brazil","Real Sociedad",28
"0c516c5c","2021-12-30 16:44:04","Vladislav Cherny","MF","Right",NULL,NULL,"June 21, 2003","Magnitogorsk","Russia",NULL,"Arminia",18
"0c61c77c","2021-12-30 16:41:03","Dodi Lukebakio","FW-MF (AM-WM, right)","76% Left",184,77,"September 24, 1997","Asse","Belgium","Belgium","Wolfsburg",24
"0c717ae6","2021-12-30 16:07:38","Barcia","DF","Right",186,80,"December 31, 2000","Vigo","Spain",NULL,"Granada",20
"0c7a48f8","2021-12-30 16:36:25","Piero Hincapié","DF","89% Left",182,65,"January 9, 2002","Esmeraldas","Ecuador","Ecuador","Leverkusen",19
"0cadc46d","2021-12-30 16:49:26","Vedat Muriqi","FW-MF","79% Left",194,76,"April 24, 1994","Prizren","Kosovo","Kosovo","Lazio",27
"0cbc8baa","2021-12-30 16:17:37","Jean-Kevin Duverne","DF (CB, left)","80% Right",184,71,"July 12, 1997","Paris","France",NULL,"Brest",24
"0cc5f4a5","2021-12-30 16:41:54","Lukas Nmecha","FW","89% Right",185,69,"December 14, 1998","Hamburg","Germany","Germany","Wolfsburg",23
"0ccac09c","2021-12-30 16:55:50","Stefano Sabelli","DF (FB, right)","92% Right",180,74,"January 13, 1993","Rome","Italy",NULL,"Genoa",28
"0cddeaa7","2021-12-30 16:43:30","Philipp Klement","MF (CM)","91% Left",175,72,"September 9, 1992","Kreisfreie Stadt Ludwigshafen am Rhein","Germany",NULL,"Stuttgart",29
"0cf465f2","2021-12-30 16:47:42","Kaio Jorge","FW",NULL,180,64,"January 24, 2002","Olinda","Brazil",NULL,"Juventus",19
"0cf778df","2021-12-30 16:43:25","Chris Führich","FW-MF",NULL,178,70,"January 9, 1998","Castrop-Rauxel","Germany",NULL,"Stuttgart",23
"0d077b88","2021-12-30 16:55:19","Mehdi Bourabia","MF","84% Right",183,74,"August 7, 1991","Dijon","France","Morocco","Spezia",30
"0d422df7","2021-12-30 16:52:45","Marco Silvestri","GK","94% Right",191,80,"March 2, 1991","Castelnovo ne' Monti","Italy",NULL,"Udinese",30
"0d4ceb32","2021-12-30 16:32:33","Matěj Vydra","FW-MF (AM)","78% Right",180,75,"May 1, 1992","Chotěboř","Czech Republic","Czech Republic","Burnley",29
"0d55d942","2021-12-30 16:40:33","Alexander Schwolow","GK","82% Right",189,83,"June 2, 1992","Wiesbaden","Germany",NULL,"Hertha BSC",29
"0d7b6576","2021-12-30 16:14:26","Sepe Elye Wahi","FW","Right",178,70,"January 2, 2003","Courcouronnes","France",NULL,"Montpellier",18
"0d82903c","2021-12-30 16:47:27","Alex Sandro","DF-MF (FB, left)","92% Left",180,78,"January 26, 1991","Catanduva","Brazil","Brazil","Juventus",30
"0d836298","2021-12-30 16:21:36","Teddy Bartouche","GK","Right",185,74,"June 5, 1997","Lagny-sur-Marne","France",NULL,"Lorient",24
"0d85a4e8","2021-12-30 16:23:16","Marcus Bettinelli","GK","98% Right",193,82,"May 24, 1992","London","England",NULL,"Chelsea",29
"0d8a37c2","2021-12-30 16:42:41","Tobias Sippel","GK","89% Right",180,77,"March 22, 1988","Bad Dürkheim","Germany","Germany","Mönchengladbach",33
"0d9b2d31","2021-12-30 16:04:38","Pedri","MF","84% Right",174,64,"November 25, 2002","Santa Cruz de Tenerife","Spain","Spain","Barcelona",19
"0da32a38","2021-12-30 16:44:28","Nils Seufert","MF",NULL,182,73,"February 3, 1997","Mannheim","Germany",NULL,"Greuther Fürth",24
"0db169ae","2021-12-30 16:45:11","Sandro Tonali","MF (DM)","90% Right",181,78,"May 8, 2000","Lodi","Italy","Italy","Milan",21
"0db5d2c8","2021-12-30 16:30:16","Mathias Jørgensen","DF (CB, right)","93% Right",191,79,"April 23, 1990","Copenhagen","Denmark","Denmark","Brentford",31
"0df854bb","2021-12-30 16:18:42","Kayne Bonnevie","GK",NULL,NULL,NULL,"July 22, 2001",NULL,NULL,NULL,"Lyon",20
"0dfce079","2021-12-30 16:56:35","Boris Radunović","GK","Right",194,85,"May 26, 1996","Belgrade","Serbia",NULL,"Cagliari",25
"0e0102eb","2021-12-30 16:42:13","Omar Marmoush","FW","90% Right",177,73,"February 7, 1999","Cairo","Egypt","Egypt","Stuttgart",22
"0e46fa2f","2021-12-30 16:14:08","Matthis Abline","FW",NULL,NULL,NULL,"March 5, 2003","Angers","France",NULL,"Rennes",18
"0e4fef6e","2021-12-30 16:07:44","Lucas Torró","MF (CM-DM)","87% Right",188,77,"July 19, 1994","Cocentaina","Spain",NULL,"Osasuna",27
"0e50f929","2021-12-30 16:06:55","Fran Mérida","MF (CM)","86% Left",175,70,"March 4, 1990","Barcelona","Spain",NULL,"Espanyol",31
"0e5ddc7c","2021-12-30 16:11:46","Dani Gómez","FW","89% Right",176,68,"July 30, 1998","Alcorcón","Spain",NULL,"Levante",23
"0e6bc38c","2021-12-30 16:34:51","Eric Maxim Choupo-Moting","FW-MF (AM)","80% Right",191,87,"March 23, 1989","Hamburg","Germany","Cameroon","Bayern Munich",32
"0e7ccfc4","2021-12-30 16:15:21","Sébastien Corchia","DF (FB, right)","90% Right",174,65,"November 1, 1990","Noisy-le-Sec","France","France","Nantes",31
"0ed063d6","2021-12-30 16:19:38","Yasser Larouci","DF","Left",176,68,"January 1, 2001","El Oued Province","Algeria",NULL,"Troyes",20
"0ef89a37","2021-12-30 16:04:22","Philippe Coutinho","FW-MF (AM-WM, left)","93% Right",172,68,"June 12, 1992","Rio de Janeiro","Brazil","Brazil","Barcelona",29
"0f134faf","2021-12-30 16:30:13","Mathias Jensen","MF (CM)","80% Right",173,68,"January 1, 1996","Jerslev","Denmark","Denmark","Brentford",25
"0f26fd24","2021-12-30 16:19:01","Anastasios Donis","FW-MF","78% Right",178,74,"August 29, 1996","Athens","Greece","Greece","Reims",25
"0f59a7bf","2021-12-30 16:39:35","Anton Stach","MF","82% Right",NULL,NULL,"November 15, 1998","Buchholz ","Germany",NULL,"Mainz 05",23
"0f697e02","2021-12-30 16:12:37","Nathan Bitu Mazala","MF",NULL,NULL,NULL,"December 10, 2002",NULL,NULL,NULL,"Paris Saint-Germain",19
"0f7dbaf6","2021-12-30 16:06:31","Jokin Ezkieta","GK","Right",194,81,"August 17, 1996","Pamplona","Spain",NULL,"Athletic Club",25
